title,release year,genre,key words,plot,run time /min,number of votes,rating
Die Seelen im Feuer,2014,Drama,female-nudity|topless-female-nudity|torture|sex-scene|therapy|prison|medical-examination|fire|father-son-relationship|bare-butt|kneeling|boy,"Bamberg 1630. The era of witch-hunting. The surgeon professor Cornelius (Mark Waschke) returns from Vienna, where he is a renowned physician, to his homeland. He is soon forced to face the show trial of witches and appraise, as medical expert, the methods of Commissioner Mr. Berger (devilish Axel Milberg). Cornelius feels his blood churning inside when he is ordered to stay in the city. Snow in June, crop failures, the Catholic Church is worried about those obvious signs of the Devil's presence in the Reformation and its growing power. Rumors start wafting through the city of important people tempted by the Evil. Eventually the first alleged witches come in detention. Who wants to get rid of someone or hurt him, simply accuses him of being a magician or witch. One day the pyre threatens his childhood sweetheart Johanna (Silke Bender). Cornelius plots with bold city councils against the arbitrariness of the church and the fanaticism of Bamberg's authorities. He tries by all means to save Johanna. But the hunt continues unabated. More and more pyres burn. The Church - Alexander Held convinced as auxiliary bishop and chief ideologue of the fanatical pursuit - plays their power mercilessly. At the cruel Maleficent Chamber, Mr. Berger is the wily witch Commissioner. He benefits greatly with the witch processes, because the legacy of the condemned flows to the Church coffers. Cornelius escapes Bamberg and presents the case before the emperor in Vienna. Can he convince him to put an end to the horrific events in Bamberg? But how can Cornelius enforce the law and order in time to save Johanna?",110,137,6.5
Pixelschatten,2011,Drama,college|male-nudity|male-frontal-nudity|point-of-view|german|social-network,"Pixel (Ben Gageik) is a 22-year-old small-town blogger: Everyone can read about him and his friends online. His blog ""Pixelschatten"" used to be the hippest thing in town, but now the local fame has faded away. His friends go to college, have new friends and interests, and his girlfriend Suse (Zora Klostermann) is irritated by the private issues revealed on the blog. When Pixel realizes that everyone but him is moving on, he changes all their lives with just one post...",85,137,7.2
A NY Thing,2009,Comedy|Romance,love-triangle|kiss|mental-illness|female-frontal-nudity|metro|club|male-female-relationship|lesbian-kiss|new-york,"A French romantic follows his dream girl to NYC, but a weekend of white lies, one-night-stands and tangled love triangles prove infatuation and romance are not what they seem. Featuring indie darling Greta Gerwig.",81,137,6.1
In Bed with a Killer,2019,Thriller,killer|small-town|mother-daughter-relationship,A single mother and her daughter move to a new town where she meets the man of her dreams who might be hiding some very dark secrets.,92,136,4.2
Die Lehrerin,2011,Drama,teacher|female-teacher|woman,"On the first day of a new school year, the over-strained teacher Andrea tells her best friend and colleague Katja that she will quit her job. But a dramatic incident with a pupil shatters the lives of Drea, Katja and their pupils forever.",90,136,7.0
L.A. Burning: The Riots 25 Years Later,2017,Documentary,riot|racism|police-brutality|lapd,"L.A BURNING: The Riots 25 Years Later is a 2-hour documentary film exploring the lives of the people at the flashpoint of the LA riots, 25 years after the uprising made national headlines and highlighted the racial divide in America.",86,135,7.6
Ein Mann unter Verdacht,2016,Crime,female-rear-nudity|wake-up-call|sex-scene|topless-female-nudity|female-nudity,"Anja Altmann disappears after a birthday party. When the police ring husband Thomas' doorbell, family attorney and friend Lavinia Bertok manage to dispel any suspicions. But soon Thomas is arrested. While the Altmann family start hurling accusations and recriminations at each other, Anja allegedly surfaces in Spain, raising a strange suspicion against Lavinia.",89,135,6.8
Murder Games: The Life and Death of Breck Bednar,2016,Documentary|Drama,name-in-title|online-predator|online-gaming|grooming|reenactment,Docudrama telling the story of the 14-year-old schoolboy from surrey who was groomed online by 18-year-old Lewis Daynes via online video games and lured to his death.,60,135,6.7
The Eiffel Tower Mystery,2015,Crime|Drama|Thriller,lesbian|interracial-relationship|magician|hypnotist|lgbt-plus|steampunk|victorian|lgbt|escape-artist|gay|france|victorian-era,"The daughter of one of the architects who built the Eiffel Tower gets framed for a murder that has taken place there, so she and her girlfriend embark on a quest across Paris to solve the mystery.",86,135,6.3
Nantucket Film Festival's Comedy Roundtable,2012,Comedy,nantucket-film-festival|comedy-roundtable|nantucket-comedy-roundtable,"An Epix Original comedy roundtable shot at the Nantucket film festival starring Ben Stiller, Chris Rock, Jim Carrey & Bill Hader. In HD.",47,135,6.5
Trinity Goodheart,2011,Drama,title-directed-by-female|title-written-by-female,"When 12-year-old Trinity Goodheart is visited by an angel who leaves her a pendant that belonged to her long-lost mother, Trinity concludes that her mother is in danger and needs her help.",91,135,5.6
Mystery at the Moulin Rouge,2011,Crime|Drama|Thriller,lesbian-kiss,"Paris, 1892. Diane comes to Paris in search of her missing sister, determined to become a quadrille dancer at the Moulin Rouge. Entering the world of the upper class, she uncovers a series of murders in which she might be the next victim.",87,135,5.7
The Real Robin Hood,2010,Documentary|Biography|History,friar,A special about the origins of the English folk hero.,120,135,7.0
50 Years of Star Trek,2016,Documentary|Sci-Fi,50th-anniversary|pop-culture|movie-history|television-history|star-trek|psychotronic-filmmaking|action-filmmaking|adventure-filmmaking|drama-filmmaking|sci-fi-filmmaking,"The cast , crew , creators & critics discuss the impact of Star Trek from its creation by Gene Roddenberry to the present into today and the future. Showing clips from the original unaired pilot featuring Jeffery Hunter from 1965 to 9/8/1966 the 1st show aired. 50 years of dialog, the movies and what we can expect next.",84,134,7.1
Sugar Sand,2017,Comedy|Drama,1970s|boy|east-germany|germany|one-word-title|german-democratic-republic|gdr|ddr|border-crossing|mother-son-relationship|single-mother|emigrant|immigrant|west-germany|little-boy|friendship|east-west|emigration|immigration|german|border|baltic-sea,"End of the 1970s in East Germany: Fred and Jonas are close friends. The 10-year-olds live near at the German-German frontier. After the mother from Jonas has made an exit application, the boys have to recognize that they are soon separated from each other. But they want to dig a tunnel to Australia to meet there themselves again. When Jonas should leave the country with his mother this night changes everything.",89,134,6.7
The Batmobile,2012,Documentary,batmobile|two-word-title|reference-to-batman|reference-to-the-batmobile,"The history and evolution of the Batmobile in comic books, TV and movies.",60,134,7.7
I Am Jazz: A Family in Transition,2011,Documentary,gender-transition|transgender|transgender-child|mermaid-costume|bra|birthday-party|mermaid|discrimination|soccer-team|soccer|gender-identity|puberty|gender|children|boy|father-son-relationship|father-daughter-relationship|mother-daughter-relationship|mother-son-relationship|family-relationships|sister-sister-relationship|brother-sister-relationship|girl|birthday-cake|doctor|birthday|11th-birthday|11-year-old,In the documentary special (I AM JAZZ: A Family in Transition) follows the life of an extraordinary family and their transgendered daughter.,60,134,4.7
Cigarettes et bas nylon,2010,Drama,female-nudity|topless-female-nudity|dressing,"In 1945, ""cigarette camps"" were set up in Normandy to provide rest and recreation for American soldiers back from the front. They were hastily transformed into transit camps for the French wives of some of these soldiers, helping them with their administrative tasks and teaching them how to become perfect American wives.",97,134,6.6
Sleeping Beauty,2009,Family|Fantasy,adolescent|father-figure|boy|chores|punishment|embarrassment|bully|scolding|therapy|fight|transformation|dare|fairy-tale,"Raised on a farm, energetic fearless Fynn is eager to be join uncle August in the royal castle as apprentice in the stables. He's quickly humiliated having inadvertently dared prince Eric to sword sparring, but gets discrete lessons from his surprisingly able kin. Like many high aristocrats around, Eric boldly sets out to win a princess's hand and royal crown in a century-long enchanted castle, but is fatally defeated by its impenetrable envelop of thorny vines. Having learned more from August about the curse, Fynn also has a go, but differently and with better results.",59,134,6.0
A Deadly Vendetta,2018,Drama|Sport|Thriller,catfight,"Starting over at a new high school is a challenge for former soccer team captain Cameron, especially when faced with a new coach who has a deadly vendetta and refuses to play by the rules.",85,133,5.4
Die Notlüge,2017,Comedy,male-objectification|bare-chested-male|f-rated,"A divorced man wants to tell his old mother about his divorce and present her his new girlfriend, but then backs down having both his ex-wife and her new family and his new girlfriend playing along.",90,133,6.3
Call Me Helen,2015,Drama,single-father|sexual-identity|coming-out|bullying|student-exchange|teenager|father-son-relationship|coming-of-age|lgbt|transgender|male-frontal-nudity|male-nudity|san-francisco-california|female-nudity|full-frontal-female-nudity|condom|bare-chested-male|barefoot-male|camera-shot-of-bare-feet,"Teenager Finn spends a year abroad in San Francisco. One year later, when his father wants to collect him from the airport, he is faced with the fact that his son is now a girl - Helen.",89,133,6.5
A Dangerous Fortune,2016,Drama,cat-house|wallet|bar|prostitute|public-nudity|topless-female-nudity|female-nudity,"A shocking secret behind a young boys death leads to three generations of treachery in this breathtaking saga of love, power and revenge, set amid the wealth and decadence of Victorian England.",180,132,4.8
Alaska Johansson,2013,Thriller,girl-in-panties|black-panties|panties|female-nudity|brief-topless-female-nudity|shower|barefoot-woman|washing-feet,"Alaska Johansson, played by Alina Levshin (""Warrior""), is a perfect woman and in her profession as one of the best headhunters. When she will one day, almost fired from her married boss, with whom she has a relationship and at the same time learns that their relationship has no chance, she wants to kill himself with a poison cocktail. She is prevented at the last minute because, as a child enters in Halloween costume into her home and demanded sweets. Something seems with the child but not to vote. Later, the neighbor will claim that he had no child, though Alaska has seen it in his apartment ... Alaska's world gets more and more out of control, their observations are dismissed as delusions. When making her car itself and it gets into a serious car accident, it seems clear that the whole thing is a conspiracy against them. Or is there another dark secret in Alaska's life?",89,132,5.7
